BasinID,YEAR,MONTH,Ppt_mm,Tavg_C
1,2007,7,186.962,7.79738
1,2007,8,171.349,9.03269
1,2007,9,82.2362,5.36402
1,2007,10,73.3745,2.81221
1,2007,11,7.92899,-2.55951
1,2007,12,7.87172,-6.05422
1,2008,1,4.86006,-5.49769
1,2008,2,11.1512,-8.61951
1,2008,3,45.438,-2.94542
1,2008,4,68.1671,1.52332
1,2008,5,107.492,4.11826
1,2008,6,123.372,5.98892
1,2008,7,135.564,8.67414
1,2008,8,176.365,7.53901
1,2008,9,141.325,6.88888
1,2008,10,78.5119,1.94431
1,2008,11,11.5836,-3.79481
1,2008,12,3.17956,-6.08026
1,2009,1,5.64406,-6.44286
1,2009,2,10.0339,-2.50352
1,2009,3,22.7242,-1.89108
1,2009,4,90.0447,0.894236
1,2009,5,121.072,3.8662
1,2009,6,132.203,5.56298
1,2009,7,226.243,7.94072
1,2009,8,144.367,7.41438
1,2009,9,122.997,7.04602
1,2009,10,104.649,1.04944
1,2009,11,14.4351,-3.49937
1,2009,12,1.58947,-7.12913
1,2010,1,2.03967,-5.26823
1,2010,2,4.34328,-3.42915
1,2010,3,27.7626,-0.985136
1,2010,4,62.8968,0.414631
1,2010,5,143.621,4.46576
1,2010,6,177.514,5.49133
1,2010,7,202.651,8.85668
1,2010,8,255.626,7.89843
1,2010,9,142.2,5.58466
1,2010,10,50.1222,1.06286
1,2010,11,20.8186,-3.69457
1,2010,12,1.68208,-7.5947
1,2011,1,7.80228,-9.19379
1,2011,2,5.49599,-3.76461
1,2011,3,48.9595,-4.62436
1,2011,4,90.4135,0.0773856
1,2011,5,143.017,3.74968
1,2011,6,176.311,6.26169
1,2011,7,293.249,6.34177
1,2011,8,111.799,7.59051
1,2011,9,214.269,5.84503
1,2011,10,71.553,0.73767
1,2011,11,23.3647,-2.53874
1,2011,12,3.74426,-6.64073
1,2012,1,8.22136,-8.57597
1,2012,2,7.89634,-4.53132
1,2012,3,42.0623,-2.85078
1,2012,4,62.1068,-0.355273
1,2012,5,139.322,4.0242
1,2012,6,174.506,5.28
1,2012,7,210.031,7.80872
1,2012,8,173.381,8.07168
1,2012,9,135.404,4.37159
1,2012,10,84.2675,0.896689
1,2012,11,7.51624,-4.07582
1,2012,12,3.51499,-6.28819
2,1951,1,0.000062534,-7.77119
2,1951,2,5.81827,-6.15465
2,1951,3,1.85523,-5.05644
2,1951,4,15.8486,-3.68084
2,1951,5,47.0312,2.49868
2,1951,6,88.1329,5.80779
2,1951,7,178.571,6.65213
2,1951,8,124.024,7.50024
2,1951,9,110.778,3.73935
2,1951,10,41.1297,1.4552
2,1951,11,36.337,-3.92278
2,1951,12,0,-5.39927
2,1952,1,0.125379,-5.17311
2,1952,2,0.00500458,-1.07245
2,1952,3,0.0179008,0.698758
2,1952,4,35.6901,3.70479
2,1952,5,92.4476,5.14605
2,1952,6,193.131,6.65267
2,1952,7,53.522,9.04073
2,1952,8,188.411,7.29776
2,1952,9,89.1799,5.54826
2,1952,10,67.6511,2.23356
2,1952,11,0,0.646932
2,1952,12,0.00417981,-4.41399
2,1953,1,2.48502,-4.97461
2,1953,2,0.603023,-2.00847
2,1953,3,10.7461,0.644205
2,1953,4,71.0049,-0.51058
