ID,Watershed,UZTWM,UZFWM,UZK,ZPERC,REXP,LZTWM,LZFSM,LZFPM,LZSK,LZPK,PFREE
173,173,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
174,174,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
175,175,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
176,176,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
177,177,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
178,178,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
179,179,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
180,180,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
181,181,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
182,182,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
183,183,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
184,184,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
185,185,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
186,186,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
187,187,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
188,188,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
189,189,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
190,190,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
191,191,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
192,192,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
193,193,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
194,194,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
195,195,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
196,196,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
197,197,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
198,198,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
199,199,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
200,200,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
201,201,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
202,202,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
203,203,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
204,204,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
205,205,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
206,206,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
207,207,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
208,208,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
209,209,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
210,210,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
211,211,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
212,212,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
213,213,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
214,214,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
215,215,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
216,216,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
217,217,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
218,218,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
219,219,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
220,220,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
221,221,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
222,222,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
223,223,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
224,224,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
225,225,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
226,226,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
227,227,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
228,228,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
229,229,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
230,230,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
231,231,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
232,232,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
233,233,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
234,234,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
235,235,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
236,236,49.8,29.88,0.38,60.41,2.62,115.2,19.69,49.43,0.15,0,0.28
237,237,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
238,238,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
239,239,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
240,240,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
241,241,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
242,242,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
243,243,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
244,244,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
245,245,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
246,246,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
247,247,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
248,248,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
249,249,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
250,250,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
251,251,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
252,252,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
253,253,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
254,254,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
255,255,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
256,256,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
257,257,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
258,258,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
259,259,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
260,260,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
261,261,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
262,262,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
263,263,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
264,264,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
265,265,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
266,266,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
267,267,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
268,268,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
269,269,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
270,270,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
271,271,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
272,272,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
273,273,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
274,274,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
275,275,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
276,276,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
277,277,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
278,278,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
279,279,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
280,280,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
281,281,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
282,282,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
283,283,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
284,284,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
285,285,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
286,286,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
287,287,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
288,288,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
289,289,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
290,290,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
291,291,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
292,292,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
